id,name,type,sex,origin,genre,language,year,second year,tracks
25,25 by Adele,1,NA,NA,1,1,2016,11,
1989,1989 by Taylor Swift,1,NA,NA,1,1,2016,13,
Adel,Adele,2,1,1,NA,NA,NA,,
Ahea,A head full of dreams by Coldplay,1,NA,NA,,,2016,12,
AliK,Ali Kocatepe,2,,,NA,NA,NA,,
AliP,Ali Payami,2,2,10,NA,NA,NA,,
Aman,Amanda Ghost,2,1,1,NA,NA,NA,,
Amma,Ammar Malik,2,2,2,NA,NA,NA,,
AmyW,Amy Wadge,2,1,1,NA,NA,NA,,
Andr,Andrew Haas,2,,2,NA,NA,NA,,
Aria,Ariana Grande,2,1,2,NA,NA,NA,,
AUGU,August 08,2,2,2,NA,NA,NA,,
Barn,Barney Freeman,2,2,,NA,NA,NA,,
Beau,Beauty behind the madness by the weeknd,1,,,,,2016,14,
Bell,Belly,2,2,10,NA,NA,NA,,
BenB,Ben Billions,2,,,NA,NA,NA,,
BenF,Ben Fagan,2,2,2,NA,NA,NA,,
Benn,Benny Blanco,2,2,1,NA,NA,NA,,
BenV,Ben Vella,2,,,NA,NA,NA,,
Beyo,Beyoncé,2,1,2,NA,NA,NA,,
BigS,Big Sean,2,2,2,NA,NA,NA,,
BigT,Big Taste,2,2,,NA,NA,NA,,
Bloo,BloodPop,2,2,2,NA,NA,NA,,
Blyt,Blythe Pepino,2,1,,NA,NA,NA,,
BOOT,BOOTS,2,2,,NA,NA,NA,,
Bran,Brandon Green (Maejor Ali),2,2,2,NA,NA,NA,,
Bret,Brett James,2,,,NA,NA,NA,,
Bria,Brian West,2,2,7,NA,NA,NA,,
Brod,Brody Brown,2,2,2,NA,NA,NA,,
Bruc,Bruce Springsteen,2,2,2,NA,NA,NA,,
Brun,Bruno Mars,2,2,2,NA,NA,NA,,
Cait,Caitlyn Smith,2,1,2,NA,NA,NA,,
Carl,Carl Marshall,2,,,NA,NA,NA,,
Caro,Carolyn Leigh,2,1,2,NA,NA,NA,,
CheP,Che Pope,2,,,NA,NA,NA,,
ChrisM,Chris Martin,2,2,1,NA,NA,NA,,
Chri,Chris Gelbuda,2,2,2,NA,NA,NA,,
Clar,Clarence Coffee Jr.,2,2,2,NA,NA,NA,,
CyCo,Cy Coleman,2,2,2,NA,NA,NA,,
DaHe,DaHeala,2,2,7,NA,NA,NA,,
Dang,Danger Mouse,2,2,2,NA,NA,NA,,
Dani,Daniel Bryer,2,2,1,NA,NA,NA,,
Dann,Danny Elfman,2,2,2,NA,NA,NA,,
DannyB,DannyBoyStyles,2,,,NA,NA,NA,,
DaveO,Dave Okumu,2,2,10,NA,NA,NA,,
Dave,Dave Rodriguez,2,,,NA,NA,NA,,
Devo,Devonté Hynes,2,2,1,NA,NA,NA,,
Dipl,Diplo,2,2,2,NA,NA,NA,,
DJKh,DJ Khaled,2,,,NA,NA,NA,,
Domi,Dominic Jordan,2,2,2,NA,NA,NA,,
Eben,Eben Wares,2,2,,NA,NA,NA,,
EdDr,Ed Drewett,2,2,1,NA,NA,NA,,
EdSh,Ed Sheeran,2,2,1,NA,NA,NA,,
EgWh,Eg White,2,2,1,NA,NA,NA,,
Elvi,Elvin Smith,2,2,1,NA,NA,NA,,
Emil,Emile Haynie,2,2,2,NA,NA,NA,,
Euge,Eugene Record,2,2,2,NA,NA,NA,,
Fift,Fifty Shades of grey by various artists,1,NA,NA,,,2016,16,
FoyV,Foy Vance,2,2,1,NA,NA,NA,,
Fras,Fraser T. Smith,2,2,1,NA,NA,NA,,
Gary,Gary Lightbody,2,2,1,NA,NA,NA,,
Gera,Gerald Eaton,2,2,10,NA,NA,NA,,
Glad,Gladius,2,2,,NA,NA,NA,,
Greg,Greg Kurstin,2,2,2,NA,NA,NA,,
GuyB,Guy Berryman,2,2,1,NA,NA,NA,,
Harr,Harry Syles,2,2,1,NA,NA,NA,,
IanF,Ian Franzino,2,2,2,NA,NA,NA,,
IanK,Ian Kirkpatrick,2,2,10,NA,NA,NA,,
Illa,Illangelo,2,,,NA,NA,NA,,
ILYA,ILYA,2,2,9,NA,NA,NA,,
Imog,Imogen Heap,2,1,1,NA,NA,NA,,
InTh,In The Lonely Hour by Sam Smith,1,NA,NA,1,1,2016,10,
Jack,Jack Antonoff,2,2,2,NA,NA,NA,,
Jaco,Jacob Kasher,2,2,2,NA,NA,NA,,
Jame,James Worthy,2,2,2,NA,NA,NA,,
James,James G. Morales,2,,,NA,NA,NA,,
Jami,Jamie Scott,2,2,1,NA,NA,NA,,
JAYZ,JAY-Z,2,2,2,NA,NA,NA,,
Jeff,Jeff Lynne,2,2,1,NA,NA,NA,,
Jere,Jeremy Snyder,2,2,,NA,NA,NA,,
JesseS,Jesse Shatkin,2,2,2,NA,NA,NA,,
JessieW,Jessie Ware,2,1,1,NA,NA,NA,,
Jess,Jesse Frasure,2,,,NA,NA,NA,,
Jhar,Jhart,2,2,1,NA,NA,NA,,
